id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22842903,Blue House_Africa room,166750275,Martin,,Lac-Saint-Charles,46.9299,-71.39909,Private room,90,2,0,,,3,0
22844693,Chambre,86788322,Carole-Ann,,Des Châtels,46.85083,-71.40214,Private room,40,1,1,2018-02-01,0.08,1,0
22844741,Chambre a louer St-foy,168923144,Charles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81296,-71.20723,Private room,50,3,1,2018-02-03,0.08,1,0
22846406,Blue House_Asia room,166750275,Martin,,Lac-Saint-Charles,46.92829,-71.39866,Private room,80,2,0,,,3,0
22846891,Blue House_Solo Traveler room,166750275,Martin,,Lac-Saint-Charles,46.92842,-71.40002,Private room,60,2,0,,,3,0
22861642,Le 208,20776329,Renaud,,Pointe-de-Sainte-Foy,46.75362,-71.32617,Entire home/apt,100,2,0,,,1,0
22862832,Charming room downtown Québec city!,6257750,Emilie,,Saint-Jean-Baptiste,46.80786,-71.21908,Private room,46,2,2,2018-02-04,0.15,2,0
22862899,New Luxe 2bdr Old Port-Old Quebec-Private Terrasse,3403057,Ly,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81559,-71.20634,Entire home/apt,50,2,34,2019-02-27,3.70,1,277
22865594,Location idéal pour voyageur d'affaires,169147730,Dany,,Duberger-Les Saules,46.81457,-71.27889,Entire home/apt,58,2,49,2019-02-24,4.19,1,174
22895461,Quebec and its restaurants at your feet!,46154351,Pierre,,Saint-Sauveur,46.81214,-71.23247,Entire home/apt,119,1,91,2019-03-06,7.13,1,209
22898357,"Appartement lumineux, propre et confortable",15306756,Niel,,Saint-Roch,46.81578,-71.22901,Entire home/apt,50,2,9,2018-03-17,0.68,1,0
22902096,LAUREAT2-20-75,130033021,Gilbert,,Cité Universitaire,46.78732,-71.27533,Entire home/apt,205,1,6,2018-08-25,0.76,32,0
22902662,LAUREAT2-30-75,130033021,Gilbert,,Cité Universitaire,46.78827,-71.27456,Entire home/apt,205,2,0,,,32,0
22903064,LAUREAT2-40-75,130033021,Gilbert,,Cité Universitaire,46.78768,-71.27543,Entire home/apt,205,2,7,2018-08-12,0.76,32,0
22905901,LAUREAT2-20-85,130033021,Gilbert,,Cité Universitaire,46.78673,-71.27452,Entire home/apt,205,2,4,2018-08-16,0.50,32,0
22906133,LAUREAT2-30-35,130033021,Gilbert,,Cité Universitaire,46.78771,-71.27416,Entire home/apt,205,2,5,2018-08-12,0.64,32,0
22909231,Condo Montcalm,169592845,Marilyne,,Montcalm,46.80167,-71.23595,Entire home/apt,100,2,1,2018-03-04,0.08,1,0
22909304,Chambre lumineuse près du Vieux Québec,79049242,Anna,,Saint-Sauveur,46.80839,-71.24236,Private room,39,1,16,2019-02-17,1.21,2,0
